const,Neighborhood_Crawfor,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Neighborhood_Veenker,Condition2_PosN,Exterior1st_BrkFace,Fireplaces,GarageArea,OverallQual,OverallCond,GarageCars,TotRmsAbvGrd,OverallQual * LotArea,YearBuilt * TotRmsAbvGrd,OverallQual**2
1.0,0,0,0,0,0,0,0,0,548,7,5,2,8,59150,16024,49
1.0,0,0,0,0,1,0,0,1,460,6,8,2,6,57600,11856,36
1.0,0,0,0,0,0,0,0,1,608,7,5,2,6,78750,12006,49
1.0,1,0,0,0,0,0,0,1,642,7,5,3,7,66850,13405,49
1.0,0,1,0,0,0,0,0,1,836,8,5,3,9,114080,18000,64
1.0,0,0,0,0,0,0,0,0,480,5,5,2,5,70575,9965,25
1.0,0,0,0,0,0,0,0,1,636,8,5,2,7,80672,14028,64
1.0,0,0,0,0,0,0,0,2,484,7,6,2,7,72674,13811,49
1.0,0,0,0,0,0,0,1,2,468,7,5,2,8,42840,15448,49
1.0,0,0,0,0,0,0,0,2,205,5,6,1,5,37100,9695,25
1.0,0,0,0,0,0,0,0,0,384,5,5,1,5,56000,9825,25
1.0,0,0,1,0,0,0,0,2,736,9,5,3,11,107316,22055,81
1.0,0,0,0,0,0,0,0,0,352,5,6,1,4,64840,7848,25
1.0,0,0,0,0,0,0,0,1,840,7,5,3,7,74564,14042,49
1.0,0,0,0,0,0,0,0,1,352,6,5,1,5,65520,9800,36
1.0,0,0,0,0,0,0,0,0,576,7,8,2,5,42840,9645,49
1.0,0,0,0,0,0,0,0,1,480,6,7,2,5,67446,9850,36
1.0,0,0,0,0,0,0,0,0,516,4,5,2,6,43164,11802,16
1.0,0,0,0,0,0,0,0,0,576,5,5,2,6,68475,12024,25
1.0,0,0,0,0,0,0,1,0,294,5,6,1,6,37800,11748,25
1.0,0,0,1,0,0,0,0,1,853,8,5,3,9,113720,18045,64
1.0,0,0,0,0,0,0,0,1,280,7,7,1,6,52143,11580,49
1.0,0,0,0,0,0,0,0,1,534,8,5,2,7,77936,14014,64
1.0,0,0,0,0,0,0,0,1,572,5,7,2,6,21120,11856,25
1.0,0,0,0,0,0,0,0,1,270,5,8,1,6,41230,11808,25
1.0,0,0,1,0,0,0,0,1,890,8,5,3,7,113840,14049,64
1.0,0,0,0,0,0,0,0,0,576,5,7,2,5,36000,9755,25
1.0,0,0,1,0,0,0,0,1,772,8,5,3,7,91824,14049,64
1.0,0,0,0,0,0,0,0,2,319,5,6,1,6,81605,11742,25
1.0,0,0,0,0,0,0,0,0,240,4,6,1,4,25296,7708,16
1.0,0,0,0,0,0,0,1,0,250,4,4,1,6,34000,11520,16
1.0,0,0,0,0,0,0,0,0,271,5,6,1,6,42720,11796,25
1.0,0,0,0,0,0,0,0,0,484,8,5,2,7,88392,14049,64
1.0,0,0,0,0,0,0,1,1,447,5,5,2,6,52760,11754,25
1.0,0,0,1,0,0,0,0,1,556,9,5,2,6,65817,12030,81
