const,x1,x3,x4,x5,x6,x8,x9,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68
1.0,0.0,8.0,5.0,90000.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,9.0,90000.0,64.0,606841.0,1558.0,7011.0,70110000.0,14036022.0,64.0,72.0,144144.0,512.0,25.0,18.0,180000.0,36036.0,81.0,810000.0,162162.0,576.0,8100000000.0,1621620000.0,324648324.0,1153152.0,4096.0
1.0,0.0,6.0,4.0,41148.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46656.0,216.0,1296.0,8887968.0,2481840.0,36.0,36.0,68940.0,216.0,16.0,6.0,41148.0,11490.0,36.0,246888.0,68940.0,216.0,1693157904.0,472790520.0,132020100.0,413640.0,1296.0
1.0,0.0,8.0,5.0,94752.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,94752.0,14056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,7.0,94752.0,64.0,695556.0,2502.0,5838.0,79023168.0,11722704.0,64.0,56.0,112448.0,512.0,25.0,21.0,284256.0,42168.0,49.0,663264.0,98392.0,448.0,8977941504.0,1331834112.0,197571136.0,899584.0,4096.0
1.0,0.0,6.0,5.0,52638.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,7.0,52638.0,36.0,211600.0,920.0,3220.0,24213480.0,6430340.0,36.0,42.0,83874.0,216.0,25.0,14.0,105276.0,27958.0,49.0,368466.0,97853.0,252.0,2770759044.0,735826602.0,195412441.0,503244.0,1296.0
1.0,0.0,7.0,5.0,75488.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,7.0,75488.0,49.0,161604.0,804.0,2814.0,30346176.0,5602674.0,49.0,49.0,97559.0,343.0,25.0,14.0,150976.0,27874.0,49.0,528416.0,97559.0,343.0,5698438144.0,1052076256.0,194239969.0,682913.0,2401.0
1.0,0.0,6.0,7.0,75048.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178929.0,423.0,2961.0,31745304.0,5744340.0,36.0,42.0,81480.0,216.0,49.0,7.0,75048.0,13580.0,49.0,525336.0,95060.0,252.0,5632202304.0,1019151840.0,184416400.0,488880.0,1296.0
1.0,0.0,5.0,4.0,33000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186624.0,432.0,4752.0,14256000.0,8990784.0,25.0,55.0,104060.0,125.0,16.0,11.0,33000.0,20812.0,121.0,363000.0,228932.0,275.0,1089000000.0,686796000.0,433139344.0,520300.0,625.0
1.0,0.0,7.0,5.0,79828.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,8.0,79828.0,49.0,292681.0,1082.0,4328.0,43186948.0,8647344.0,49.0,56.0,111888.0,343.0,25.0,16.0,159656.0,31968.0,64.0,638624.0,127872.0,392.0,6372509584.0,1275970752.0,255488256.0,783216.0,2401.0
1.0,0.0,6.0,5.0,26556.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176400.0,840.0,1260.0,11153520.0,2525040.0,36.0,18.0,36072.0,216.0,25.0,6.0,53112.0,12024.0,9.0,79668.0,18036.0,108.0,705221136.0,159654672.0,36144144.0,216432.0,1296.0
1.0,0.0,6.0,5.0,19380.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193600.0,880.0,2640.0,8527200.0,5277360.0,36.0,36.0,71964.0,216.0,25.0,12.0,38760.0,23988.0,36.0,116280.0,71964.0,216.0,375584400.0,232443720.0,143856036.0,431784.0,1296.0
